# t Gij Gij_error
0.00000000e+00 5.99258766e-02 5.25115955e-05
2.00000000e-01 3.92042473e-02 4.96420304e-05
4.00000000e-01 3.21154557e-02 4.89497888e-05
6.00000000e-01 2.72356365e-02 4.79185886e-05
8.00000000e-01 2.33904738e-02 4.71393263e-05
1.00000000e+00 2.02233568e-02 4.61544827e-05
1.20000000e+00 1.75444260e-02 4.47690153e-05
1.40000000e+00 1.52658066e-02 4.38239289e-05
1.60000000e+00 1.33216307e-02 4.27837688e-05
1.80000000e+00 1.16421888e-02 4.22110580e-05
2.00000000e+00 1.01905558e-02 4.19847744e-05
2.20000000e+00 8.92911572e-03 4.20696704e-05
2.40000000e+00 7.82653596e-03 4.20837949e-05
2.60000000e+00 6.87280670e-03 4.21726284e-05
2.80000000e+00 6.04695128e-03 4.19148003e-05
3.00000000e+00 5.32143377e-03 4.16186468e-05
3.20000000e+00 4.70000878e-03 4.12387264e-05
3.40000000e+00 4.15249728e-03 4.13486704e-05
3.60000000e+00 3.67064169e-03 4.13114965e-05
3.80000000e+00 3.25686205e-03 4.15839180e-05
4.00000000e+00 2.90380418e-03 4.18952123e-05
4.20000000e+00 2.59003020e-03 4.21728995e-05
4.40000000e+00 2.30797566e-03 4.21990460e-05
4.60000000e+00 2.05300888e-03 4.21766865e-05
4.80000000e+00 1.82960625e-03 4.18762734e-05
5.00000000e+00 1.63642922e-03 4.14897304e-05
5.20000000e+00 1.45654369e-03 4.12303236e-05
5.40000000e+00 1.29006489e-03 4.08281572e-05
5.60000000e+00 1.14371581e-03 4.05173492e-05
5.80000000e+00 1.02855673e-03 4.05365174e-05
6.00000000e+00 9.30286187e-04 4.04158849e-05
6.20000000e+00 8.37169646e-04 4.02541982e-05
6.40000000e+00 7.59146234e-04 4.06738774e-05
6.60000000e+00 6.81977137e-04 4.09264819e-05
6.80000000e+00 6.11121184e-04 4.12847856e-05
7.00000000e+00 5.48086828e-04 4.13349893e-05
7.20000000e+00 4.92514635e-04 4.15896699e-05
7.40000000e+00 4.49137529e-04 4.11463788e-05
7.60000000e+00 4.08689404e-04 4.10627052e-05
7.80000000e+00 3.73349292e-04 4.11892516e-05
8.00000000e+00 3.37446894e-04 4.14172192e-05
8.20000000e+00 3.16278980e-04 4.15570705e-05
8.40000000e+00 2.92456214e-04 4.13598903e-05
8.60000000e+00 2.80477805e-04 4.12595031e-05
8.80000000e+00 2.57367705e-04 4.12262858e-05
