# T T1 T1_error R1T R1T_error R1T R1R_error
2.80000000e+02 8.41355897e+00 8.74587062e-01 6.40807472e-02 9.68793959e-04 5.47750192e-02 1.23169815e-02
2.90000000e+02 8.59492424e+00 8.01491421e-01 5.36099219e-02 8.58596087e-04 6.27378169e-02 1.08155998e-02
3.00000000e+02 1.07485667e+01 1.10814668e+00 4.77429337e-02 6.35583908e-04 4.52927269e-02 9.57063099e-03
3.10000000e+02 1.14025421e+01 1.06307280e+00 4.22244026e-02 5.31132838e-04 4.54753397e-02 8.15908383e-03
3.20000000e+02 1.42268132e+01 1.52270328e+00 3.64098466e-02 4.69990377e-04 3.38799637e-02 7.50846019e-03
