# T T1 T1_error R1T R1T_error R1T R1R_error
2.80000000e+02 1.81876414e+00 1.59330130e-01 2.15651564e-01 4.57541936e-03 3.34172339e-01 4.79487000e-02
2.90000000e+02 2.52189169e+00 2.30009964e-01 1.58198973e-01 2.35903313e-03 2.38328762e-01 3.60884223e-02
3.00000000e+02 3.58811987e+00 3.43651704e-01 1.25318656e-01 2.01703968e-03 1.53378833e-01 2.66158956e-02
3.10000000e+02 5.22285944e+00 5.73318908e-01 1.01320217e-01 1.21224170e-03 9.01457822e-02 2.09824401e-02
3.20000000e+02 5.35308274e+00 5.51301015e-01 8.31047030e-02 1.44280885e-03 1.03703544e-01 1.91847510e-02
