# T T1 T1_error R1T R1T_error R1T R1R_error
2.80000000e+02 3.48627062e+00 2.89520307e-01 1.65073870e-01 2.41403865e-03 1.21765594e-01 2.36981903e-02
2.90000000e+02 4.62398269e+00 4.15041836e-01 1.33523334e-01 1.90124758e-03 8.27404511e-02 1.93181845e-02
3.00000000e+02 5.02770886e+00 3.87161177e-01 1.04217656e-01 1.28717542e-03 9.46800976e-02 1.52620357e-02
3.10000000e+02 6.48733731e+00 4.68755506e-01 8.44418369e-02 1.12910172e-03 6.97046107e-02 1.10807816e-02
3.20000000e+02 8.72520252e+00 7.50800323e-01 7.15359849e-02 1.28972075e-03 4.30745353e-02 9.77749639e-03
