# t Gij Gij_error
0.00000000e+00 6.64773062e-02 8.07964962e-05
2.00000000e-01 4.99772578e-02 7.77343733e-05
4.00000000e-01 4.43403274e-02 7.68652941e-05
6.00000000e-01 4.06797305e-02 7.65740012e-05
8.00000000e-01 3.76059525e-02 7.61838292e-05
1.00000000e+00 3.48767489e-02 7.63537287e-05
1.20000000e+00 3.24313119e-02 7.64123691e-05
1.40000000e+00 3.02137248e-02 7.61550942e-05
1.60000000e+00 2.81765889e-02 7.65291351e-05
1.80000000e+00 2.63238735e-02 7.69234994e-05
2.00000000e+00 2.46077348e-02 7.67731690e-05
2.20000000e+00 2.30159927e-02 7.61580738e-05
2.40000000e+00 2.15496104e-02 7.57439258e-05
2.60000000e+00 2.01923698e-02 7.56880044e-05
2.80000000e+00 1.89327393e-02 7.54700779e-05
3.00000000e+00 1.77560896e-02 7.50497131e-05
3.20000000e+00 1.66547913e-02 7.48325960e-05
3.40000000e+00 1.56366322e-02 7.47127762e-05
3.60000000e+00 1.46900583e-02 7.42743966e-05
3.80000000e+00 1.37871020e-02 7.41227841e-05
4.00000000e+00 1.29572609e-02 7.41916902e-05
4.20000000e+00 1.21878525e-02 7.38519150e-05
4.40000000e+00 1.14817983e-02 7.31929426e-05
4.60000000e+00 1.08125266e-02 7.24572864e-05
4.80000000e+00 1.01724165e-02 7.16789112e-05
5.00000000e+00 9.56836808e-03 7.08467556e-05
5.20000000e+00 8.99983477e-03 6.99002325e-05
5.40000000e+00 8.47477186e-03 6.94462136e-05
5.60000000e+00 7.97440112e-03 6.91735754e-05
5.80000000e+00 7.51681486e-03 6.89466024e-05
6.00000000e+00 7.08410563e-03 6.89939170e-05
6.20000000e+00 6.67370437e-03 6.83550910e-05
6.40000000e+00 6.28115470e-03 6.81263924e-05
6.60000000e+00 5.89878252e-03 6.72337775e-05
6.80000000e+00 5.54349227e-03 6.68917460e-05
7.00000000e+00 5.21714194e-03 6.68893009e-05
7.20000000e+00 4.91849659e-03 6.72245357e-05
7.40000000e+00 4.63449769e-03 6.73539605e-05
7.60000000e+00 4.37922124e-03 6.74587806e-05
7.80000000e+00 4.12746239e-03 6.79897339e-05
8.00000000e+00 3.88072967e-03 6.82303173e-05
8.20000000e+00 3.64092248e-03 6.89869258e-05
8.40000000e+00 3.42434831e-03 6.96069262e-05
8.60000000e+00 3.22268065e-03 7.02760487e-05
8.80000000e+00 3.03210435e-03 7.04056937e-05
9.00000000e+00 2.86453939e-03 7.09666690e-05
9.20000000e+00 2.70359311e-03 7.12275707e-05
9.40000000e+00 2.54487339e-03 7.19200283e-05
9.60000000e+00 2.39861896e-03 7.24492073e-05
9.80000000e+00 2.27178168e-03 7.28795439e-05
1.00000000e+01 2.16109282e-03 7.28724590e-05
1.02000000e+01 2.04084278e-03 7.36901313e-05
1.04000000e+01 1.91250117e-03 7.34956815e-05
1.06000000e+01 1.79722381e-03 7.31273494e-05
