# N0 R1 R1_error R1T R1T_error R1T R1R_error tauT tauR
2.50000000e+01 2.44144000e-01 2.89479146e-02 8.65198863e-02 4.43645156e-03 1.57624114e-01 2.86059374e-02 2.73059669e+00 2.23116209e+00 5.49590615e-03 1.95134982e-02
3.80000000e+01 2.87324022e-01 2.59189916e-02 9.61149449e-02 3.21012577e-03 1.91209077e-01 2.57194326e-02 2.96859704e+00 2.66090241e+00 4.06002377e-03 1.70810989e-02
5.80000000e+01 2.69175917e-01 2.37540567e-02 9.78312139e-02 2.94953979e-03 1.71344703e-01 2.35702233e-02 2.93351202e+00 2.40668730e+00 3.40891339e-03 1.38211235e-02
8.80000000e+01 2.55458565e-01 1.66653120e-02 1.04280351e-01 2.66561910e-03 1.51178214e-01 1.64507477e-02 3.25010091e+00 2.10558814e+00 3.28844049e-03 1.35001965e-02
1.35000000e+02 2.71543215e-01 1.44371765e-02 1.01516023e-01 1.99678368e-03 1.70027192e-01 1.42984237e-02 3.05545440e+00 2.34837220e+00 3.47192408e-03 1.38826979e-02
2.07000000e+02 2.44096920e-01 1.54852462e-02 1.08306563e-01 1.62558863e-03 1.35790357e-01 1.53996854e-02 3.21580825e+00 1.90531719e+00 3.27617962e-03 1.26705505e-02
3.16000000e+02 2.40764654e-01 8.33710959e-03 1.12820476e-01 2.72817150e-03 1.27944178e-01 7.87810108e-03 3.46529963e+00 1.79391580e+00 4.15581415e-03 1.44359956e-02
4.82000000e+02 2.76237016e-01 9.16211377e-03 1.16353989e-01 1.06555276e-03 1.59883027e-01 9.09994099e-03 3.51379805e+00 2.24117076e+00 2.75019378e-03 1.04147342e-02
7.36000000e+02 2.95636703e-01 1.71690119e-02 1.16362726e-01 5.22408316e-04 1.79273977e-01 1.71610623e-02 3.50116495e+00 2.51199020e+00 2.16915936e-03 9.76061411e-03
1.71700000e+03 2.58816331e-01 2.94083086e-02 1.22613093e-01 2.59455848e-03 1.36203238e-01 2.92936320e-02 3.70758671e+00 1.90667973e+00 6.16363155e-02 4.86485427e-01
2.62000000e+03 3.07388608e-01 2.89018995e-02 1.18710142e-01 1.87458521e-03 1.88678467e-01 2.88410424e-02 3.57324170e+00 2.65610728e+00 4.32231078e-02 4.81610137e-01
4.00000000e+03 2.78697490e-01 2.66922151e-02 1.25318656e-01 2.01703968e-03 1.53378833e-01 2.66158956e-02 3.78523358e+00 2.15086476e+00 5.96338677e-02 4.85453697e-01
6.10600000e+03 3.46288318e-01 2.75280848e-02 1.29137743e-01 2.41050437e-03 2.17150574e-01 2.74223435e-02 3.87290392e+00 3.04598105e+00 5.39661386e-02 4.81924808e-01
