0.000000000000000000e+00 2.989980392158031464e-02
4.003999999999999782e-01 2.026271633803844452e-02
8.007999999999999563e-01 1.734373718500137329e-02
1.201200000000000045e+00 1.512093842029571533e-02
1.601599999999999913e+00 1.329316571354866028e-02
2.001999999999999780e+00 1.178864017128944397e-02
2.402400000000000091e+00 1.050867885351181030e-02
2.802799999999999958e+00 9.420494548976421356e-03
3.203199999999999825e+00 8.484240621328353882e-03
3.603599999999999692e+00 7.671291474252939224e-03
4.003999999999999559e+00 6.944486405700445175e-03
4.404399999999999871e+00 6.316731218248605728e-03
4.804800000000000182e+00 5.754167214035987854e-03
5.205199999999999605e+00 5.268758628517389297e-03
5.605599999999999916e+00 4.840336740016937256e-03
6.005999999999999339e+00 4.449087195098400116e-03
6.406399999999999650e+00 4.099313169717788696e-03
6.806799999999999962e+00 3.797330660745501518e-03
7.207199999999999385e+00 3.515620017424225807e-03
7.607599999999999696e+00 3.271616529673337936e-03
8.007999999999999119e+00 3.048849292099475861e-03
8.408400000000000318e+00 2.842464251443743706e-03
8.808799999999999741e+00 2.654706826433539391e-03
9.209199999999999164e+00 2.481747185811400414e-03
9.609600000000000364e+00 2.328926231712102890e-03
1.000999999999999979e+01 2.188979182392358780e-03
1.041039999999999921e+01 2.062158891931176186e-03
1.081079999999999863e+01 1.942309900186955929e-03
1.121119999999999983e+01 1.832552254199981689e-03
1.161159999999999926e+01 1.734085846692323685e-03
1.201199999999999868e+01 1.641474082134664059e-03
1.241239999999999988e+01 1.556771923787891865e-03
1.281279999999999930e+01 1.474049990065395832e-03
1.321319999999999872e+01 1.405034563504159451e-03
1.361359999999999992e+01 1.331233768723905087e-03
1.401399999999999935e+01 1.266172737814486027e-03
1.441439999999999877e+01 1.207807799801230431e-03
1.481479999999999997e+01 1.158032566308975220e-03
1.521519999999999939e+01 1.110097859054803848e-03
1.561559999999999881e+01 1.059568603523075581e-03
1.601599999999999824e+01 1.017998554743826389e-03
1.641639999999999944e+01 9.782997658476233482e-04
1.681680000000000064e+01 9.425290045328438282e-04
1.721719999999999828e+01 9.064830373972654343e-04
1.761759999999999948e+01 8.720291662029922009e-04
1.801800000000000068e+01 8.386794943362474442e-04
1.841839999999999833e+01 8.038324886001646519e-04
1.881879999999999953e+01 7.759685977362096310e-04
1.921920000000000073e+01 7.479673367924988270e-04
1.961959999999999837e+01 7.227482274174690247e-04
2.001999999999999957e+01 6.918361177667975426e-04
2.042039999999999722e+01 6.676667835563421249e-04
2.082079999999999842e+01 6.434687529690563679e-04
2.122119999999999962e+01 6.287618307396769524e-04
2.162159999999999727e+01 6.124193896539509296e-04
2.202199999999999847e+01 5.959708360023796558e-04
2.242239999999999966e+01 5.780423525720834732e-04
2.282279999999999731e+01 5.568178021349012852e-04
2.322319999999999851e+01 5.363214877434074879e-04
2.362359999999999971e+01 5.247997469268739223e-04
2.402399999999999736e+01 5.097830435261130333e-04
2.442439999999999856e+01 4.925173707306385040e-04
2.482479999999999976e+01 4.820114118047058582e-04
2.522519999999999740e+01 4.656439123209565878e-04
2.562559999999999860e+01 4.492075822781771421e-04
2.602599999999999980e+01 4.313681274652481079e-04
2.642639999999999745e+01 4.172329499851912260e-04
2.682679999999999865e+01 4.046918475069105625e-04
2.722719999999999985e+01 3.898580325767397881e-04
2.762759999999999749e+01 3.800976264756172895e-04
2.802799999999999869e+01 3.698747605085372925e-04
2.842839999999999989e+01 3.575702721718698740e-04
2.882879999999999754e+01 3.443345194682478905e-04
2.922919999999999874e+01 3.336817608214914799e-04
2.962959999999999994e+01 3.246146079618483782e-04
3.002999999999999758e+01 3.133806167170405388e-04
3.043039999999999878e+01 3.063058538828045130e-04
3.083079999999999998e+01 2.981007855851203203e-04
3.123119999999999763e+01 2.932216157205402851e-04
3.163159999999999883e+01 2.850388991646468639e-04
3.203199999999999648e+01 2.793983730953186750e-04
3.243240000000000123e+01 2.732776920311152935e-04
3.283279999999999887e+01 2.631448151078075171e-04
3.323319999999999652e+01 2.549680066294968128e-04
3.363360000000000127e+01 2.467622107360512018e-04
3.403399999999999892e+01 2.372380840824916959e-04
3.443439999999999657e+01 2.262230700580403209e-04
3.483480000000000132e+01 2.167831989936530590e-04
3.523519999999999897e+01 2.128156629623845220e-04
3.563559999999999661e+01 2.051941992249339819e-04
3.603600000000000136e+01 1.978367799893021584e-04
3.643639999999999901e+01 1.918448106152936816e-04
3.683679999999999666e+01 1.840742334024980664e-04
3.723720000000000141e+01 1.788591034710407257e-04
3.763759999999999906e+01 1.722786837490275502e-04
3.803799999999999670e+01 1.689193304628133774e-04
3.843840000000000146e+01 1.634423533687368035e-04
3.883879999999999910e+01 1.631761988392099738e-04
3.923919999999999675e+01 1.584172277944162488e-04
3.963959999999999440e+01 1.591329200891777873e-04
4.003999999999999915e+01 1.550204906379804015e-04
4.044039999999999679e+01 1.508913992438465357e-04
4.084079999999999444e+01 1.458371116314083338e-04
4.124119999999999919e+01 1.421957276761531830e-04
4.164159999999999684e+01 1.389504614053294063e-04
4.204199999999999449e+01 1.333690452156588435e-04
4.244239999999999924e+01 1.273235830012708902e-04
4.284279999999999688e+01 1.272761146537959576e-04
4.324319999999999453e+01 1.213572104461491108e-04
4.364359999999999928e+01 1.182205378427170217e-04
4.404399999999999693e+01 1.163465640274807811e-04
4.444439999999999458e+01 1.144166526501066983e-04
4.484479999999999933e+01 1.110364682972431183e-04
4.524519999999999698e+01 1.088398348656482995e-04
4.564559999999999462e+01 1.048446501954458654e-04
4.604599999999999937e+01 1.050262289936654270e-04
4.644639999999999702e+01 1.018201073748059571e-04
4.684679999999999467e+01 9.687156125437468290e-05
4.724719999999999942e+01 9.354001667816191912e-05
4.764759999999999707e+01 9.236414916813373566e-05
4.804799999999999471e+01 9.602498903404921293e-05
4.844839999999999947e+01 9.305367711931467056e-05
4.884879999999999711e+01 9.393305663252249360e-05
4.924919999999999476e+01 9.012655937112867832e-05
4.964959999999999951e+01 8.983557927422225475e-05
5.004999999999999716e+01 8.834143955027684569e-05
5.045039999999999480e+01 8.407219866057857871e-05
5.085079999999999956e+01 8.107510802801698446e-05
5.125119999999999720e+01 7.897544855950400233e-05
5.165159999999999485e+01 7.630803884239867330e-05
5.205199999999999960e+01 7.601904508192092180e-05
5.245239999999999725e+01 7.211275078589096665e-05
5.285279999999999490e+01 7.043500954750925303e-05
5.325319999999999965e+01 6.712031608913093805e-05
5.365359999999999729e+01 6.682724051643162966e-05
5.405399999999999494e+01 6.401371501851826906e-05
5.445439999999999969e+01 6.227713311091065407e-05
5.485479999999999734e+01 6.116485019447281957e-05
5.525519999999999499e+01 5.937934110988862813e-05
5.565559999999999974e+01 5.883611811441369355e-05
5.605599999999999739e+01 5.700129622709937394e-05
5.645639999999999503e+01 5.472365592140704393e-05
5.685679999999999978e+01 5.214754492044448853e-05
5.725719999999999743e+01 5.295500886859372258e-05
5.765759999999999508e+01 5.226838038652203977e-05
5.805799999999999983e+01 5.446547220344655216e-05
5.845839999999999748e+01 5.047421655035577714e-05
5.885879999999999512e+01 5.152120866114273667e-05
5.925919999999999987e+01 5.226105713518336415e-05
5.965959999999999752e+01 5.408494325820356607e-05
6.005999999999999517e+01 5.784531094832345843e-05
6.046039999999999992e+01 5.930048791924491525e-05
6.086079999999999757e+01 5.906608566874638200e-05
6.126119999999999521e+01 5.989794590277597308e-05
6.166159999999999997e+01 5.890535612707026303e-05
6.206199999999999761e+01 6.137185118859633803e-05
6.246239999999999526e+01 5.829312794958241284e-05
6.286280000000000001e+01 5.703213537344709039e-05
6.326319999999999766e+01 5.767502807429991663e-05
6.366359999999999530e+01 5.568379856413230300e-05
6.406399999999999295e+01 5.293374124448746443e-05
6.446439999999999770e+01 4.973885006620548666e-05
6.486480000000000246e+01 4.840117981075309217e-05
6.526519999999999300e+01 4.782761243404820561e-05
6.566559999999999775e+01 4.291593359084799886e-05
6.606600000000000250e+01 3.951222970499657094e-05
6.646639999999999304e+01 3.799115074798464775e-05
6.686679999999999779e+01 3.932558320229873061e-05
6.726720000000000255e+01 3.342368654557503760e-05
6.766759999999999309e+01 3.243180253775790334e-05
6.806799999999999784e+01 3.083726915065199137e-05
6.846840000000000259e+01 3.038846625713631511e-05
6.886879999999999313e+01 2.885616595449391752e-05
6.926919999999999789e+01 2.809311263263225555e-05
6.966960000000000264e+01 2.625215529405977577e-05
7.006999999999999318e+01 2.692453927011229098e-05
7.047039999999999793e+01 3.043756441911682487e-05
7.087080000000000268e+01 3.037465467059519142e-05
7.127119999999999322e+01 3.083588671870529652e-05
7.167159999999999798e+01 3.056707282667048275e-05
7.207200000000000273e+01 3.041766103706322610e-05
7.247239999999999327e+01 2.801338268909603357e-05
7.287279999999999802e+01 2.612603930174373090e-05
7.327320000000000277e+01 2.348483212699647993e-05
7.367359999999999332e+01 2.229408528364729136e-05
